val_acc,test_acc,lr,hidden_layer,dropout,weight_decay,GNN
0.798,0.809,0.0002415526969183576,33,0.5,0.001458233755286163,GAT
0.808,0.825,0.00021084848199467995,278,0.4,0.00033207856011963966,GAT
0.818,0.838,0.0032150010849549345,135,0.7,0.0007964108773096903,GAT
0.83,0.846,0.00227586322058643,180,0.9,0.0004804845084442351,GAT
0.816,0.83,0.0006122123040351594,234,0.4,0.0008304157371737958,GAT
0.81,0.822,0.0052461407497163305,295,0.4,0.00010772009315923744,GAT
0.762,0.776,0.0001393947706181694,243,0.1,0.009123880677122786,GAT
0.818,0.849,0.0030268513047401104,150,0.8,0.0006357443878495427,GAT
0.808,0.819,0.0025748428505892613,110,0.2,0.0013592385571115006,GAT
0.822,0.846,0.0024572889059198133,204,0.8,0.0009297784812608565,GAT
0.828,0.839,0.008953969189622045,61,0.7,0.0018848628377623135,GAT
0.816,0.833,0.0008431235598190856,178,0.7,0.0010505409348245578,GAT
0.814,0.816,0.003711920671730656,218,0.3,0.0007143164398657817,GAT
0.822,0.841,0.0034378264987974237,349,0.5,0.0004956398641468837,GAT
0.824,0.842,0.0075356040911517845,59,0.8,0.0005015565813537089,GAT
0.808,0.837,0.0001142882970076464,481,0.8,0.0007393191925621996,GAT
0.808,0.833,0.0008916793582289447,169,0.4,0.0006079042340616134,GAT
0.82,0.831,0.0005979711279645797,136,0.7,0.0014177421038469346,GAT
0.822,0.842,0.0012310107337788752,374,0.9,0.0009244350857683805,GAT
0.814,0.831,0.0007514947687719552,452,0.7,0.0026053430172714213,GAT
0.816,0.829,0.0008717531774070929,166,0.3,0.00021049651253401755,GAT
0.552,0.56,0.00787523003802079,281,0.1,0.00749413671214826,GAT
0.796,0.804,0.0001730360022818819,32,0.6,0.004133371753947563,GAT
0.794,0.803,0.00011553967092861989,85,0.5,0.005724585374095143,GAT
0.8,0.824,0.0010466137211590705,64,0.2,0.00012341363792781767,GAT
0.8,0.8,0.0002116906006799087,127,0.5,0.002320513687980107,GAT
0.824,0.838,0.004380924969023228,245,0.7,0.0008838000069882556,GAT
0.814,0.838,0.0005780867124357144,171,0.8,0.00029367204321790867,GAT
0.82,0.835,0.0020111156162499187,66,0.6,0.00041051797914830947,GAT
0.826,0.838,0.0042990819092317565,300,0.7,0.00014087204315589585,GAT
0.8,0.812,0.0005293545893031826,268,0.3,0.00011497137414933449,GAT
