val_acc,test_acc,lr,hidden_layer,dropout,weight_decay,GNN
0.762,0.783,0.0008211791999531913,16,0.9,0.004294740143534848,GCN
0.804,0.821,0.0008477305629407094,470,0.4,0.00011764310602264956,GCN
0.808,0.827,0.0033725352091321884,240,0.7,0.00016478856143571595,GCN
0.788,0.799,0.0004797588162489955,368,0.7,0.007205342276340138,GCN
0.764,0.79,0.0009946254372544922,24,0.6,0.005427558470538485,GCN
0.796,0.819,0.00012808026341611025,295,0.8,0.0017445251566198642,GCN
0.774,0.777,0.0002570554483092587,57,0.6,0.00017845971828318172,GCN
0.798,0.82,0.0005967154604452882,470,0.3,0.001072504515037416,GCN
0.806,0.82,0.002885383202577403,34,0.8,0.003944052521614302,GCN
0.818,0.817,0.005829231576243688,334,0.4,0.009929339135513525,GCN
0.8,0.823,0.0007903531424485296,167,0.5,0.0004292916463849912,GCN
0.804,0.808,0.0013919491414445683,74,0.3,0.0032475319884458414,GCN
0.79,0.806,0.0001256257648761872,487,0.9,0.000169542549196457,GCN
0.798,0.815,0.0005942486382193653,494,0.3,0.001679510613973162,GCN
0.804,0.825,0.0043123724042534485,155,0.1,0.00018921003146443925,GCN
0.752,0.782,0.00034644496364591345,26,0.7,0.00016118300826537316,GCN
0.802,0.822,0.00559908643819865,96,0.4,0.0006667575009377469,GCN
0.804,0.821,0.0022084235690690195,66,0.4,0.00013812646394714855,GCN
0.81,0.826,0.0003228379353402709,412,0.5,0.00026186758153440884,GCN
0.794,0.814,0.003506788022423447,18,0.9,0.0016745510158742035,GCN
0.818,0.822,0.005590668200740115,301,0.8,0.00726501413634389,GCN
0.792,0.816,0.00017274510303121903,388,0.4,0.0002509814808767808,GCN
0.798,0.823,0.0005451334243917138,373,0.6,0.0007403966404491334,GCN
0.81,0.824,0.0007225252572348904,338,0.3,0.00024347560978482492,GCN
0.798,0.818,0.0005237275595920637,398,0.4,0.0016990260236203958,GCN
0.804,0.83,0.0007787948070531215,241,0.8,0.00015703201808060308,GCN
0.804,0.81,0.000688785606670041,441,0.5,0.006514753835216269,GCN
0.804,0.831,0.008073173511844597,322,0.5,0.0006382064037368097,GCN
0.806,0.828,0.0013204096427367822,329,0.2,0.00029750517322576185,GCN
0.796,0.807,0.0009331264474310523,238,0.9,0.008830062350908174,GCN
0.802,0.809,0.001054256919235503,154,0.7,0.00668912971659988,GCN
0.808,0.818,0.0048538583995532455,270,0.1,0.0008790381476469301,GCN
0.81,0.816,0.0007647058235317501,404,0.5,0.0021631064766395496,GCN
0.788,0.809,0.0001958917816340737,402,0.8,0.0010963548165077112,GCN
0.782,0.798,0.0004387792117554281,91,0.2,0.006227867276197242,GCN
0.806,0.828,0.002050236525783479,378,0.6,0.00010518445151188998,GCN
0.806,0.826,0.0016710971489230621,148,0.9,0.0007157441284608188,GCN
0.812,0.819,0.007099860935735349,78,0.3,0.0014852233414463906,GCN
0.808,0.829,0.002470288649586931,357,0.6,0.0003488939388048304,GCN
0.786,0.799,0.00016163116656425398,361,0.9,0.0006350226488531072,GCN
0.806,0.824,0.003614560176299659,161,0.3,0.00033595429029413385,GCN
0.786,0.798,0.0002031159656647979,294,0.2,0.007270520303354654,GCN
0.804,0.823,0.004259111825042204,340,0.5,0.0005850171969001302,GCN
0.804,0.823,0.0005466007081897187,497,0.2,0.0002125364462987507,GCN
0.81,0.829,0.007608328216399203,149,0.5,0.00016133656927826357,GCN
0.806,0.821,0.002851823116456591,435,0.7,0.0009296260494530874,GCN
0.796,0.813,0.0025844306678795446,223,0.9,0.0026697669060150014,GCN
0.806,0.829,0.009030494354852642,57,0.3,0.000792694453861169,GCN
0.796,0.818,0.0014845090968230055,109,0.3,0.0007398967757276208,GCN
0.744,0.758,0.00010716665669065067,18,0.8,0.000354147348952923,GCN
0.814,0.82,0.008194984519822378,426,0.9,0.0027135287183716276,GCN
0.784,0.812,0.00011232585849750156,216,0.4,0.00023298784020376166,GCN
